YEAR,Total
2001,7
2002,11
2003,9
2004,6
2005,69
2006,103
2007,34
2008,52
2009,39
2010,45
2011,78
2012,56
2013,48
2014,105
2015,67
2016,83
2017,92
2018,86
2019,71
2020,155
