Date,Sum
2010,32298374.972275015
2011,27383950.2705
2012,26662989.85765001
2013,32583822.055300005
2014,32562837.165989995
2015,31130006.30166899
2016,29526732.29297199
2017,29562972.613106005
2018,29356478.724847995
