Year,Violations
2001,144
2002,170
2003,264
2004,391
2005,566
2006,921
2007,1579
2008,2142
2009,2803
2010,3783
2011,6020
2012,5582
2013,7437
2014,7260
2015,14997
2016,19751
2017,21257
2018,25760
2019,33549
2020,20467
