YEAR,Total
2001,0
2002,0
2003,0
2004,12
2005,8
2006,14
2007,17
2008,24
2009,17
2010,12
2011,15
2012,14
2013,4
2014,2
2015,11
2016,4
2017,19
2018,117
2019,179
2020,128
