Year,Violations
2001,21
2002,4
2003,1
2004,0
2005,8
2006,3
2007,6
2008,10
2009,39
2010,28
2011,35
2012,35
2013,77
2014,66
2015,48
2016,202
2017,259
2018,261
2019,192
2020,150
