Date,Sum
2010,35731684.215411
2011,42358592.899424985
2012,40985834.137072
2013,41450835.693299994
2014,37356516.04784
2015,37110158.03762503
2016,32603941.85797001
2017,34286658.71891
2018,32111609.855772864
