YEAR,Total
2001,38
2002,40
2003,20
2004,15
2005,16
2006,16
2007,12
2008,10
2009,25
2010,44
2011,47
2012,23
2013,17
2014,26
2015,14
2016,9
2017,33
2018,41
2019,163
2020,113
