Date,Count
2001,4
2002,6
2003,3
2004,4
2005,0
2006,9
2007,1
2008,0
2009,1
2010,2
2011,1
2012,2
2013,2
2014,0
2015,4
2016,1
2017,8
2018,1
2019,3
2020,2
