YEAR,Total
2001,49
2002,49
2003,44
2004,38
2005,89
2006,83
2007,72
2008,67
2009,83
2010,146
2011,119
2012,135
2013,173
2014,118
2015,158
2016,332
2017,290
2018,413
2019,442
2020,346
