Year,Violations
2001,704
2002,695
2003,607
2004,636
2005,588
2006,523
2007,509
2008,476
2009,434
2010,482
2011,428
2012,542
2013,504
2014,437
2015,380
2016,308
2017,301
2018,261
2019,233
2020,181
