Program,State,CD,Facilities,Percent
CAA,IL,,36,0.23603461841070023
CWA,IL,,2059,26.578030205240736
RCRA,IL,,269,1.1969386847023227
CAA,IL,13,3,0.33482142857142855
CWA,IL,13,171,34.475806451612904
RCRA,IL,13,17,1.7951425554382259
