Year,Violations
2001,117
2002,341
2003,364
2004,604
2005,509
2006,380
2007,657
2008,764
2009,849
2010,974
2011,1093
2012,1135
2013,1012
2014,873
2015,910
2016,1047
2017,891
2018,910
2019,1035
2020,600
2021,2
