Year,Violations
2001,804
2002,1061
2003,1205
2004,1236
2005,1484
2006,1508
2007,1727
2008,1858
2009,1941
2010,1920
2011,1865
2012,1648
2013,1901
2014,1445
2015,1929
2016,1655
2017,2020
2018,2096
2019,2037
2020,1494
