Year,Violations
2001,694
2002,665
2003,908
2004,1286
2005,1562
2006,1546
2007,1188
2008,1356
2009,1163
2010,1221
2011,1321
2012,1256
2013,1125
2014,1015
2015,1324
2016,2447
2017,1676
2018,2273
2019,3829
2020,3067
2021,3
