YEAR,Total
2001,362
2002,234
2003,422
2004,656
2005,923
2006,1284
2007,1921
2008,2107
2009,2260
2010,2448
2011,2416
2012,2630
2013,2831
2014,2867
2015,3104
2016,3584
2017,4767
2018,6165
2019,6599
2020,4457
