YEAR,Total
2001,2
2002,0
2003,6
2004,18
2005,48
2006,44
2007,30
2008,9
2009,0
2010,7
2011,9
2012,5
2013,3
2014,2
2015,4
2016,0
2017,22
2018,144
2019,249
2020,174
