Year,Violations
2001,3638
2002,8142
2003,12072
2004,16099
2005,19046
2006,21492
2007,23353
2008,23822
2009,22002
2010,21106
2011,23433
2012,18126
2013,15860
2014,15605
2015,14709
2016,12347
2017,12104
2018,13234
2019,13342
2020,8651
