Year,Violations
2001,4
2002,0
2003,6
2004,26
2005,34
2006,33
2007,45
2008,52
2009,86
2010,68
2011,108
2012,62
2013,77
2014,160
2015,238
2016,218
2017,256
2018,278
2019,370
2020,193
