Program,State,CD,Facilities,Percent
CAA,GA,,36,0.9155645981688708
CWA,GA,,2014,4.283739232159949
RCRA,GA,,105,2.086230876216968
CAA,GA,1,5,1.5337423312883436
CWA,GA,1,182,10.514153668399768
RCRA,GA,1,16,4.123711340206185
