Date,Sum
2010,70714346.05408798
2011,92858222.70942502
2012,93399581.45198092
2013,89394561.81199999
2014,88952107.23299998
2015,87139944.20113003
2016,89863367.42739998
2017,86322220.08230002
2018,90819705.09792578
