,Count
2001,1171
2002,1025
2003,812
2004,852
2005,971
2006,1067
2007,1160
2008,1201
2009,1056
2010,999
2011,1053
2012,1260
2013,1239
2014,1143
2015,1064
2016,1342
2017,1101
2018,897
2019,837
2020,364
