Year,Violations
2001,44
2002,46
2003,50
2004,35
2005,18
2006,17
2007,75
2008,77
2009,154
2010,252
2011,271
2012,246
2013,602
2014,673
2015,799
2016,986
2017,1266
2018,1028
2019,1164
2020,472
