Year,Violations
2001,19
2002,3
2003,21
2004,35
2005,77
2006,165
2007,178
2008,199
2009,202
2010,216
2011,210
2012,511
2013,467
2014,491
2015,388
2016,380
2017,488
2018,604
2019,742
2020,456
