Year,Violations
2001,292
2002,561
2003,998
2004,1269
2005,1575
2006,2056
2007,2389
2008,2168
2009,1989
2010,2317
2011,2677
2012,1984
2013,1477
2014,1336
2015,1307
2016,965
2017,1037
2018,1196
2019,1249
2020,948
