Year,Violations
2001,204
2002,529
2003,649
2004,909
2005,843
2006,738
2007,1231
2008,1385
2009,1678
2010,1501
2011,1846
2012,1546
2013,1394
2014,1319
2015,1748
2016,1541
2017,1381
2018,1366
2019,1438
2020,925
2021,2
