Year,Violations
2001,30
2002,42
2003,11
2004,52
2005,42
2006,37
2007,45
2008,27
2009,29
2010,21
2011,35
2012,42
2013,38
2014,67
2015,55
2016,46
2017,37
2018,60
2019,63
2020,34
