Date,Sum_District,Sum_State
2010,8859239.691132497,103262779.71096647
2011,8632185.04766554,99907094.51018083
2012,9286931.049881844,98360270.79255809
2013,9001164.576399997,97975303.07939988
2014,8074462.374,93785311.88799985
2015,7812400.311999999,95450989.96249004
2016,8268622.540000001,88222550.75400002
2017,7599631.074,87360700.67900002
2018,7405186.292,90372700.10300003
