Date,Sum
2010,12598411.095751002
2011,12669529.868027005
2012,12221300.551625999
2013,11877028.984800002
2014,11100037.288373
2015,9364409.442391
2016,8612731.503863001
2017,7920396.882105
2018,8112346.220086999
