Year,Violations
2001,880
2002,972
2003,1089
2004,1174
2005,1442
2006,1529
2007,2066
2008,2085
2009,2249
2010,2473
2011,2042
2012,1826
2013,1563
2014,1669
2015,1633
2016,1578
2017,1299
2018,1392
2019,1696
2020,845
