Year,Violations
2001,12
2002,6
2003,27
2004,66
2005,32
2006,28
2007,48
2008,106
2009,49
2010,38
2011,22
2012,37
2013,19
2014,19
2015,31
2016,45
2017,106
2018,315
2019,579
2020,554
