YEAR,Total
2001,191
2002,231
2003,179
2004,98
2005,59
2006,106
2007,78
2008,212
2009,279
2010,215
2011,216
2012,246
2013,229
2014,312
2015,364
2016,383
2017,559
2018,914
2019,964
2020,792
