Year,Violations
2001,1433
2002,1377
2003,1967
2004,1498
2005,1376
2006,1379
2007,1392
2008,1569
2009,1472
2010,2014
2011,1830
2012,1410
2013,1889
2014,1949
2015,1979
2016,1989
2017,2280
2018,3197
2019,3874
2020,2695
2021,3
