"","YEAR","Count","President"
"1",2001,2,"Bush"
"2",2002,0,"Bush"
"3",2003,2,"Bush"
"4",2004,20,"Bush"
"5",2005,31,"Bush"
"6",2006,84,"Bush"
"7",2007,93,"Bush"
"8",2008,44,"Bush"
"9",2009,19,"Obama"
"10",2010,38,"Obama"
"11",2011,25,"Obama"
"12",2012,24,"Obama"
"13",2013,29,"Obama"
"14",2014,28,"Obama"
"15",2015,14,"Obama"
"16",2016,47,"Obama"
"17",2017,76,"Trump"
"18",2018,172,"Trump"
"19",2019,320,"Trump"
