"","YEAR","Count","President"
"1",2001,16,"Bush"
"2",2002,15,"Bush"
"3",2003,52,"Bush"
"4",2004,53,"Bush"
"5",2005,64,"Bush"
"6",2006,65,"Bush"
"7",2007,58,"Bush"
"8",2008,70,"Bush"
"9",2009,67,"Obama"
"10",2010,55,"Obama"
"11",2011,127,"Obama"
"12",2012,82,"Obama"
"13",2013,96,"Obama"
"14",2014,72,"Obama"
"15",2015,82,"Obama"
"16",2016,91,"Obama"
"17",2017,80,"Trump"
"18",2018,89,"Trump"
"19",2019,178,"Trump"
