"","YEAR","Count","President"
"1",2001,5,"Bush"
"2",2002,5,"Bush"
"3",2003,3,"Bush"
"4",2004,13,"Bush"
"5",2005,13,"Bush"
"6",2006,27,"Bush"
"7",2007,16,"Bush"
"8",2008,10,"Bush"
"9",2009,24,"Obama"
"10",2010,78,"Obama"
"11",2011,145,"Obama"
"12",2012,68,"Obama"
"13",2013,99,"Obama"
"14",2014,126,"Obama"
"15",2015,103,"Obama"
"16",2016,118,"Obama"
"17",2017,71,"Trump"
"18",2018,86,"Trump"
"19",2019,104,"Trump"
