"","YEAR","Count","President"
"1",2002,120,"Bush"
"2",2003,293,"Bush"
"3",2004,244,"Bush"
"4",2005,205,"Bush"
"5",2006,153,"Bush"
"6",2007,164,"Bush"
"7",2008,246,"Bush"
"8",2009,122,"Bush"
"9",2010,143,"Obama"
"10",2011,166,"Obama"
"11",2012,135,"Obama"
"12",2013,186,"Obama"
"13",2014,212,"Obama"
"14",2015,168,"Obama"
"15",2016,164,"Obama"
"16",2017,167,"Obama"
"17",2018,274,"Trump"
"18",2019,239,"Trump"
"19",2020,109,"Trump"
