YEAR,Total
2001,1665
2002,3749
2003,6960
2004,8162
2005,9008
2006,9735
2007,10361
2008,14303
2009,13853
2010,14402
2011,16255
2012,15360
2013,13279
2014,12666
2015,13551
2016,14563
2017,13201
2018,11562
2019,10913
2020,7623
