,Count
2001,2865
2002,6237
2003,8294
2004,6646
2005,6630
2006,8960
2007,8169
2008,6964
2009,7877
2010,7418
2011,6967
2012,6475
2013,6100
2014,5981
2015,6035
2016,4325
2017,3733
2018,3523
2019,3576
2020,2310
