,Count
2001,654
2002,656
2003,601
2004,557
2005,568
2006,466
2007,518
2008,429
2009,373
2010,435
2011,297
2012,320
2013,334
2014,711
2015,421
2016,654
2017,701
2018,491
2019,527
2020,167
