Year,Violations
2001,617
2002,475
2003,349
2004,90
2005,16
2006,16
2007,28
2008,71
2009,53
2010,43
2011,80
2012,58
2013,92
2014,73
2015,67
2016,48
2017,46
2018,47
2019,140
2020,133
