YEAR,Total
2001,634
2002,726
2003,854
2004,792
2005,819
2006,754
2007,702
2008,502
2009,542
2010,441
2011,379
2012,349
2013,401
2014,430
2015,416
2016,294
2017,335
2018,376
2019,559
2020,404
