YEAR,Total
2001,8105
2002,9787
2003,11943
2004,11256
2005,11094
2006,11408
2007,12198
2008,21151
2009,20311
2010,16246
2011,16043
2012,17209
2013,20058
2014,23433
2015,30247
2016,30167
2017,19617
2018,20679
2019,22076
2020,14722
