Date,Sum
2010,163293975.19379792
2011,166722597.35424703
2012,156452492.69041997
2013,157222360.42999992
2014,161334236.360197
2015,143057142.461197
2016,139372152.51277292
2017,138486643.37378806
2018,146262510.55799994
