YEAR,Total
2001,14043
2002,14187
2003,12481
2004,10128
2005,9189
2006,7912
2007,7695
2008,7412
2009,6691
2010,5444
2011,5414
2012,4659
2013,4797
2014,5475
2015,4943
2016,4415
2017,4465
2018,6320
2019,8598
2020,6304
2021,3
