YEAR,Total
2001,2
2002,0
2003,2
2004,20
2005,31
2006,84
2007,93
2008,44
2009,19
2010,38
2011,25
2012,24
2013,29
2014,28
2015,14
2016,47
2017,76
2018,172
2019,320
2020,200
