Date,Count
2001,0
2002,0
2003,7
2004,5
2005,2
2006,4
2007,9
2008,4
2009,2
2010,2
2011,5
2012,13
2013,13
2014,16
2015,3
2016,4
2017,2
2018,8
2019,17
2020,6
