Year,Violations
2001,1
2002,1
2003,4
2004,16
2005,39
2006,53
2007,91
2008,114
2009,365
2010,676
2011,838
2012,753
2013,978
2014,1036
2015,1147
2016,893
2017,1196
2018,1488
2019,1956
2020,1297
