YEAR,Total
2001,1639
2002,2018
2003,2455
2004,2450
2005,2969
2006,2913
2007,3525
2008,4164
2009,4733
2010,4462
2011,4204
2012,3853
2013,4311
2014,3687
2015,3856
2016,3631
2017,3993
2018,4347
2019,4670
2020,3234
