,Count
2001,746
2002,788
2003,470
2004,448
2005,456
2006,410
2007,508
2008,576
2009,521
2010,339
2011,337
2012,280
2013,362
2014,412
2015,400
2016,435
2017,434
2018,331
2019,370
2020,103
