Date,Sum_District,Sum_State
2010,3613933.116,32298374.972275015
2011,4266727.932,27383950.2705
2012,3930755.03,26662989.85765001
2013,3861476.8219999997,32583822.055300005
2014,3768711.3219999997,32562837.165989995
2015,3983065.9599999995,31130006.30166899
2016,4097652.598,29526732.29297199
2017,3918205.8580000005,29562972.613106005
2018,3911142.666,29356478.724847995
