Year,Violations
2001,2
2002,8
2003,20
2004,14
2005,3
2006,1
2007,2
2008,2
2009,4
2010,15
2011,24
2012,25
2013,21
2014,8
2015,17
2016,59
2017,54
2018,76
2019,193
2020,98
