Year,Violations
2001,103
2002,97
2003,89
2004,114
2005,254
2006,225
2007,284
2008,482
2009,454
2010,642
2011,837
2012,843
2013,551
2014,429
2015,876
2016,861
2017,703
2018,553
2019,611
2020,386
