Year,Violations
2001,608
2002,953
2003,1370
2004,1694
2005,1701
2006,1931
2007,2006
2008,1895
2009,2357
2010,1982
2011,1977
2012,1763
2013,1472
2014,1811
2015,2174
2016,2550
2017,3495
2018,4416
2019,4417
2020,3371
2021,37
