YEAR,Total
2001,36
2002,56
2003,50
2004,89
2005,157
2006,161
2007,218
2008,186
2009,156
2010,224
2011,278
2012,216
2013,173
2014,187
2015,177
2016,226
2017,252
2018,255
2019,253
2020,139
