Program,State,CD,Facilities,Percent
CAA,TX,,272,4.924859677711389
CWA,TX,,2677,7.138857036187632
RCRA,TX,,360,2.4469820554649266
CAA,TX,31,2,3.8461538461538463
CWA,TX,31,50,3.389830508474576
RCRA,TX,31,6,2.380952380952381
