Year,Violations
2001,206
2002,250
2003,410
2004,315
2005,271
2006,362
2007,348
2008,289
2009,300
2010,356
2011,245
2012,231
2013,334
2014,206
2015,201
2016,160
2017,178
2018,132
2019,219
2020,87
