YEAR,Total
2001,52
2002,167
2003,361
2004,498
2005,689
2006,691
2007,768
2008,743
2009,871
2010,561
2011,567
2012,351
2013,251
2014,213
2015,228
2016,337
2017,325
2018,328
2019,406
2020,291
