Date,Count
2001,2
2002,57
2003,174
2004,168
2005,170
2006,160
2007,189
2008,179
2009,164
2010,172
2011,169
2012,150
2013,226
2014,157
2015,128
2016,59
2017,52
2018,45
2019,70
2020,19
