Date,Sum
2010,92128228.05337499
2011,95191125.36406332
2012,88658340.30074768
2013,89936006.10200007
2014,87032003.66499996
2015,80621463.91399999
2016,75499418.81319697
2017,81748023.54798302
2018,79365312.79800001
