Year,Violations
2001,1857
2002,2100
2003,2284
2004,2277
2005,2062
2006,1742
2007,1835
2008,1920
2009,1937
2010,1620
2011,2329
2012,2055
2013,2126
2014,2281
2015,1985
2016,1592
2017,5000
2018,10931
2019,15059
2020,10233
